,sample,population,percentage,count,total_count
0,sample00000,b_cell,0.11702104834037806,10908,93214
0,sample00000,cd4_t_cell,0.2198274937241187,20491,93214
0,sample00000,cd8_t_cell,0.2621923745360139,24440,93214
0,sample00000,monocyte,0.2522260604630206,23511,93214
0,sample00000,nk_cell,0.14873302293646878,13864,93214
1,sample00001,b_cell,0.06721613901452035,6777,100824
1,sample00001,cd4_t_cell,0.331855510592716,33459,100824
1,sample00001,cd8_t_cell,0.19248393239704834,19407,100824
1,sample00001,monocyte,0.22822938982781876,23011,100824
1,sample00001,nk_cell,0.18021502816789653,18170,100824
2,sample00002,b_cell,0.10551377906099847,9794,92822
2,sample00002,cd4_t_cell,0.26151127965353044,24274,92822
2,sample00002,cd8_t_cell,0.24713968671220185,22940,92822
2,sample00002,monocyte,0.19749628320872206,18332,92822
2,sample00002,nk_cell,0.1883389713645472,17482,92822
3,sample00003,b_cell,0.10821167883211678,10081,93160
3,sample00003,cd4_t_cell,0.3881172176899957,36157,93160
3,sample00003,cd8_t_cell,0.21759338772005152,20271,93160
3,sample00003,monocyte,0.1353585229712323,12610,93160
3,sample00003,nk_cell,0.1507191927866037,14041,93160
4,sample00004,b_cell,0.0405178725336645,4372,107903
4,sample00004,cd4_t_cell,0.35488355282058887,38293,107903
4,sample00004,cd8_t_cell,0.3130404159291215,33778,107903
4,sample00004,monocyte,0.1383928157697191,14933,107903
4,sample00004,nk_cell,0.153165342946906,16527,107903
5,sample00005,b_cell,0.1464611471255422,15431,105359
5,sample00005,cd4_t_cell,0.2923812868383337,30805,105359
5,sample00005,cd8_t_cell,0.30315397830275537,31940,105359
5,sample00005,monocyte,0.14976413975075695,15779,105359
5,sample00005,nk_cell,0.10823944798261183,11404,105359
6,sample00006,b_cell,0.059103574077414955,5897,99774
6,sample00006,cd4_t_cell,0.28383145909756047,28319,99774
6,sample00006,cd8_t_cell,0.3136688916952312,31296,99774
6,sample00006,monocyte,0.21654940164772385,21606,99774
6,sample00006,nk_cell,0.1268466734820695,12656,99774
7,sample00007,b_cell,0.10569576526050557,10403,98424
7,sample00007,cd4_t_cell,0.344123384540356,33870,98424
